,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,old_index,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity
3935,9.4,0.046,0.2,0.99898,7.0,50.0,-1.0,3.08,5,16.7,0.56,184.0,0.46
3937,9.3,0.185,0.36,0.9952799999999999,6.5,51.5,-1.0,3.17,5,6.7,0.42,151.0,0.36
3940,9.3,0.053,0.37,0.996,6.9,36.0,-1.0,3.16,5,8.9,0.5,148.0,0.4
3941,10.1,0.068,0.34,0.9913799999999999,4.9,32.0,-1.0,3.24,5,1.0,0.4,143.0,0.345
3948,9.3,0.045,0.3,0.99469,5.7,26.0,-1.0,3.32,5,5.4,0.45,105.0,0.14
3951,8.8,0.066,0.2,0.9991,6.3,36.0,-1.0,3.14,5,17.9,0.51,161.0,0.33
3956,10.3,0.05,0.18,0.9920700000000001,5.4,22.0,-1.0,3.24,5,2.3,0.46,145.0,0.24
3957,12.0,0.026000000000000002,0.36,0.9915200000000001,7.7,15.0,-1.0,3.11,5,4.3,0.48,87.0,0.31
3961,9.0,0.084,0.46,0.9977299999999999,7.6,55.0,-1.0,2.91,5,11.7,0.51,170.0,0.39
3964,8.8,0.055999999999999994,0.48,0.99803,7.5,61.0,-1.0,2.97,5,12.4,0.52,176.5,0.35
3980,10.7,0.035,0.25,0.9948100000000001,6.1,54.0,-1.0,3.21,5,12.1,0.4,135.0,0.22
3991,9.2,0.06,0.41,0.9931700000000001,6.9,36.0,-1.0,2.99,5,1.1,0.39,104.0,0.2
3995,12.1,0.038,0.31,0.9918600000000001,8.0,3.0,-1.0,2.9,5,4.7,0.72,127.0,0.37
4001,9.5,0.062,0.57,0.9923799999999999,6.4,21.0,-1.0,3.0,5,1.0,0.4,122.0,0.25
4015,9.3,0.054000000000000006,0.12,0.99424,6.2,6.0,-1.0,3.16,5,4.8,0.5,97.0,0.32
4016,9.2,0.055,0.24,0.99626,7.2,45.0,-1.0,3.2,5,8.5,0.52,151.0,0.4
4021,9.2,0.062,0.42,0.99318,7.0,35.0,-1.0,3.04,5,1.1,0.4,100.0,0.23
4027,9.3,0.052000000000000005,0.26,0.9930399999999999,6.4,22.0,-1.0,3.09,5,1.1,0.54,176.0,0.26
4030,11.4,0.023,0.38,0.9904700000000001,6.9,30.0,-1.0,3.11,5,1.15,0.38,105.0,0.19
4031,9.5,0.06,0.57,0.9924,6.4,15.0,-1.0,3.06,5,1.0,0.41,120.0,0.29
4032,9.2,0.034,0.22,0.9989,6.8,16.0,-1.0,3.07,5,17.8,0.53,116.0,0.27
4036,9.9,0.040999999999999995,0.22,0.99287,7.3,40.0,-1.0,3.14,5,1.4,0.48,177.0,0.33
4037,9.9,0.044000000000000004,0.22,0.9928600000000001,7.3,43.0,-1.0,3.14,5,1.4,0.46,176.0,0.34
4040,9.4,0.052000000000000005,0.29,0.9934,6.3,48.0,-1.0,3.21,5,1.6,0.5,185.0,0.24
4041,9.3,0.053,0.22,0.99545,6.2,45.0,-1.0,3.23,5,7.9,0.52,149.0,0.24
4056,10.7,0.032,0.18,0.99565,6.5,25.0,-1.0,3.23,5,13.15,0.51,131.0,0.43
4060,10.0,0.048,0.01,0.9936200000000001,6.4,20.0,-1.0,3.19,5,6.1,0.42,70.0,0.41
4063,9.7,0.09,0.21,0.99255,6.1,44.0,-1.0,3.07,5,1.9,0.41,130.0,0.17
4064,12.5,0.032,0.21,0.9902700000000001,5.5,23.0,-1.0,3.42,5,1.6,0.42,85.0,0.28
4067,10.6,0.062,0.28,0.9950600000000001,6.9,22.0,-1.0,3.16,5,8.3,0.72,166.0,0.38
4070,9.9,0.048,0.27,0.99498,6.1,41.0,-1.0,3.21,5,8.0,0.51,162.0,0.28
4073,8.5,0.054000000000000006,0.16,0.99398,6.5,11.0,-1.0,3.19,5,1.3,0.39,107.0,0.36
4076,10.4,0.05,0.26,0.99608,7.4,33.0,-1.0,3.13,5,9.6,0.46,134.0,0.37
4083,10.1,0.052000000000000005,0.32,0.99266,6.2,32.0,-1.0,3.28,5,1.2,0.44,185.0,0.3
4096,9.5,0.054000000000000006,0.35,0.99366,8.0,13.0,-1.0,3.08,5,1.1,0.55,136.0,0.25
4098,11.0,0.046,0.34,0.9929899999999999,6.6,30.0,-1.0,3.22,5,5.6,0.38,140.0,0.21
4101,10.0,0.057,0.23,0.9956799999999999,6.9,54.0,-1.0,3.23,5,9.5,0.42,166.0,0.37
4106,9.7,0.040999999999999995,0.56,0.99119,5.3,46.0,-1.0,3.16,5,0.9,0.62,141.0,0.23
4110,11.6,0.053,0.27,0.99164,7.6,23.0,-1.0,3.22,5,1.2,0.38,193.0,0.4
4120,9.0,0.049,0.5,0.9973,7.4,48.0,-1.0,3.01,5,12.1,0.44,122.0,0.28
4125,10.0,0.048,0.23,0.99382,6.3,44.0,-1.0,3.08,5,5.7,0.54,147.0,0.17
4126,10.0,0.047,0.22,0.9938299999999999,6.3,45.0,-1.0,3.09,5,5.6,0.54,147.0,0.18
4127,10.3,0.059000000000000004,0.34,0.9953799999999999,6.7,51.0,-1.0,3.33,5,6.8,0.56,215.0,0.31
4128,10.4,0.054000000000000006,0.32,0.99734,6.6,62.0,-1.0,3.25,5,15.6,0.56,227.0,0.33
4131,9.1,0.048,0.26,0.9964,7.4,47.0,-1.0,3.26,5,8.6,0.36,206.0,0.31
4135,11.3,0.046,0.24,0.99234,5.9,27.0,-1.0,3.63,5,2.4,0.73,132.0,0.26
4150,9.4,0.046,0.31,0.9971399999999999,7.6,6.0,-1.0,3.07,5,9.4,0.61,194.0,0.48
4153,9.5,0.049,0.47,0.9927,6.1,50.0,-1.0,3.19,5,1.4,0.45,187.0,0.3
4154,9.6,0.048,0.5,0.9948,6.2,61.0,-1.0,3.19,5,6.5,0.45,186.0,0.32
4156,9.6,0.047,0.52,0.9948100000000001,6.3,63.0,-1.0,3.18,5,6.3,0.44,186.0,0.34
4163,10.4,0.061,0.38,0.99192,7.2,12.0,-1.0,3.18,5,1.5,0.46,120.0,0.26
4164,10.7,0.063,0.35,0.9918399999999999,7.0,13.0,-1.0,3.22,5,1.6,0.5,119.0,0.31
4171,12.0,0.04,0.37,0.9900899999999999,6.6,31.0,-1.0,3.15,5,1.6,0.66,101.0,0.22
4173,9.3,0.174,0.86,0.9928799999999999,7.1,36.0,-1.0,2.92,5,1.4,0.5,99.0,0.34
4179,9.4,0.052000000000000005,0.4,0.9986,6.9,81.0,-1.0,3.2,5,15.4,0.69,198.0,0.24
4186,10.5,0.043,0.32,0.99236,7.6,23.0,-1.0,3.06,5,1.2,0.68,72.0,0.27
4189,9.6,0.09699999999999999,0.21,0.9939,6.4,21.0,-1.0,3.07,5,5.1,0.46,105.0,0.21
4191,11.2,0.05,0.35,0.9913799999999999,7.8,36.0,-1.0,3.09,5,1.2,0.45,140.0,0.27
4197,9.8,0.053,0.48,0.99472,6.3,34.0,-1.0,3.18,5,7.4,0.53,149.0,0.3
4198,9.1,0.049,0.53,0.99792,7.9,63.0,-1.0,2.94,5,12.9,0.45,139.0,0.36
4203,10.1,0.054000000000000006,0.32,0.99266,6.2,27.0,-1.0,3.3,5,1.3,0.43,183.0,0.3
4214,9.5,0.055999999999999994,0.24,0.99718,7.0,68.0,-1.0,3.05,5,12.1,0.5,210.0,0.44
4225,10.6,0.055999999999999994,0.27,0.9948600000000001,6.2,38.0,-1.0,3.31,5,10.1,0.56,187.0,0.345
4235,9.2,0.04,0.18,0.99736,6.4,21.0,-1.0,3.14,5,15.0,0.5,116.0,0.29
4237,10.5,0.03,0.3,0.99192,7.5,27.0,-1.0,3.05,5,1.2,0.68,80.0,0.23
4244,9.2,0.038,0.48,0.9982,7.6,44.0,-1.0,3.04,5,13.5,0.48,116.0,0.36
4245,9.2,0.037000000000000005,0.47,0.9982200000000001,7.6,42.0,-1.0,3.04,5,13.3,0.5,116.0,0.35
4254,10.9,0.057999999999999996,0.24,0.99567,7.5,25.0,-1.0,3.15,5,9.9,0.46,115.0,0.29
4255,9.2,0.051,0.26,0.99416,6.0,16.0,-1.0,3.15,5,5.1,0.41,119.0,0.33
4257,12.0,0.033,0.23,0.9887,5.8,39.0,-1.0,2.96,5,1.5,0.35,121.0,0.32
4269,9.4,0.045,0.23,0.9981,7.1,44.0,-1.0,3.11,5,13.7,0.53,192.0,0.46
4271,9.4,0.043,0.2,0.9984799999999999,6.9,57.0,-1.0,3.08,5,15.4,0.54,201.0,0.42
4277,10.3,0.054000000000000006,0.35,0.99474,7.2,37.0,-1.0,3.08,5,5.5,0.5,183.0,0.22
4281,10.1,0.059000000000000004,0.24,0.9977299999999999,5.7,23.0,-1.0,3.3,5,17.8,0.5,124.0,0.26
4287,10.0,0.046,0.17,0.9928799999999999,7.6,28.0,-1.0,3.08,5,1.6,0.43,117.0,0.28
4291,9.4,0.045,0.36,0.9992200000000001,7.2,68.0,-1.0,3.25,5,15.7,0.76,183.0,0.21
4294,10.8,0.046,0.28,0.9946799999999999,7.4,22.0,-1.0,3.1,5,9.0,0.55,121.0,0.22
4300,9.4,0.209,0.3,0.9947799999999999,6.4,62.0,-1.0,3.1,5,6.5,0.4,156.0,0.29
4301,9.5,0.105,0.23,0.99692,7.2,22.0,-1.0,3.01,5,8.9,0.58,155.0,0.34
4311,12.0,0.046,0.28,0.9899700000000001,7.1,33.0,-1.0,3.12,5,1.9,0.31,103.0,0.23
4316,9.4,0.086,0.2,0.9968100000000001,7.2,17.0,-1.0,3.13,5,10.4,0.4,94.0,0.585
4320,9.5,0.055999999999999994,0.35,0.9952700000000001,6.4,45.0,-1.0,3.16,5,7.7,0.5,191.0,0.26
4325,9.5,0.054000000000000006,0.26,0.9953799999999999,6.4,47.0,-1.0,3.12,5,8.2,0.5,182.0,0.24
4326,9.2,0.052000000000000005,0.34,0.9962700000000001,7.4,44.0,-1.0,3.11,5,8.3,0.52,168.0,0.38
4328,10.98,0.043,0.19,0.9943299999999999,6.4,28.0,-1.0,3.23,5,9.3,0.53,145.0,0.42
4329,9.4,0.054000000000000006,0.26,0.9954,6.4,47.0,-1.0,3.12,5,8.1,0.49,181.0,0.23
4349,9.4,0.10800000000000001,0.28,0.9973799999999999,7.2,43.0,-1.0,2.96,5,10.4,0.57,187.0,0.34
4352,10.7,0.054000000000000006,0.35,0.9917799999999999,7.3,31.0,-1.0,3.18,5,1.6,0.47,148.0,0.28
4356,10.53333333,0.046,0.29,0.99313,6.2,35.0,-1.0,3.25,5,5.6,0.51,178.0,0.29
4358,9.533333333,0.05,0.2,0.9950399999999999,6.5,44.0,-1.0,3.18,5,7.5,0.48,179.0,0.23
4363,9.5,0.048,0.25,0.9966299999999999,7.1,32.0,-1.0,3.14,5,11.2,0.4,136.0,0.31
4365,9.1,0.063,0.33,0.99561,6.3,63.0,-1.0,2.86,5,10.1,0.41,133.0,0.19
4370,9.6,0.096,0.19,0.9937,6.5,16.0,-1.0,3.02,5,4.5,0.44,115.0,0.22
4371,9.3,0.053,0.28,0.99372,7.0,16.0,-1.0,3.18,5,2.7,0.56,92.0,0.23
4374,9.5,0.051,0.21,0.9932,6.4,46.0,-1.0,3.16,5,2.1,0.5,171.0,0.35
4376,9.4,0.042,0.21,0.9937299999999999,6.1,17.0,-1.0,3.02,5,5.0,0.53,133.0,0.34
4378,8.8,0.040999999999999995,0.2,0.9949399999999999,6.5,9.0,-1.0,2.94,5,6.6,0.51,126.0,0.315
4384,9.5,0.05,0.21,0.9954200000000001,6.4,51.0,-1.0,3.23,5,8.2,0.48,182.0,0.26
4390,9.2,0.057,0.44,0.9980399999999999,6.2,39.0,-1.0,3.14,5,15.8,0.51,167.0,0.25
4391,9.4,0.048,0.37,0.9989899999999999,7.3,70.0,-1.0,3.25,5,15.5,0.77,203.0,0.22
4395,9.4,0.051,0.22,0.9967600000000001,6.6,35.0,-1.0,3.1,5,12.3,0.67,146.0,0.24
4396,9.8,0.053,0.26,0.9969899999999999,7.4,55.0,-1.0,3.11,5,11.8,0.6,173.0,0.27
4403,9.733333333,0.066,0.46,0.9936200000000001,5.2,41.0,-1.0,3.19,5,6.2,0.42,187.0,0.22
4404,9.4,0.044000000000000004,0.16,0.9951200000000001,5.9,48.0,-1.0,3.21,5,7.9,0.36,197.0,0.29
4408,9.4,0.044000000000000004,0.16,0.9951200000000001,5.7,48.0,-1.0,3.21,5,7.9,0.36,197.0,0.29
4410,9.733333333,0.069,0.47,0.9939100000000001,5.7,35.0,-1.0,3.11,5,6.3,0.46,182.0,0.24
4415,9.1,0.061,0.22,0.99824,6.3,26.0,-1.0,3.08,5,16.0,0.5,141.0,0.305
4416,9.75,0.069,0.47,0.9939100000000001,5.7,35.0,-1.0,3.11,5,6.3,0.46,182.0,0.24
4427,9.9,0.044000000000000004,0.26,0.99611,6.3,24.0,-1.0,3.11,5,12.3,0.58,205.0,0.32
4430,8.7,0.051,0.59,0.9988600000000001,8.1,60.0,-1.0,2.96,5,13.6,0.39,134.0,0.36
4433,9.4,0.06,0.26,0.9969,6.9,55.0,-1.0,3.21,5,10.9,0.44,193.0,0.56
4438,10.5,0.046,0.19,0.9918399999999999,6.1,51.0,-1.0,3.22,5,1.4,0.39,131.0,0.21
4439,9.8,0.048,0.16,0.9942799999999999,7.2,14.0,-1.0,3.09,5,5.9,0.49,125.0,0.47
4440,9.1,0.051,0.31,0.99834,6.7,20.0,-1.0,3.06,5,16.4,0.54,146.0,0.34
4448,10.3,0.045,0.25,0.99329,7.3,32.0,-1.0,3.18,5,2.5,0.54,122.0,0.3
4451,9.5,0.049,0.19,0.9951399999999999,6.3,47.0,-1.0,3.22,5,7.7,0.48,184.0,0.3
4452,9.8,0.048,0.22,0.9930399999999999,6.3,53.0,-1.0,3.24,5,2.8,0.45,173.0,0.39
4455,9.0,0.051,0.29,0.99911,6.0,36.0,-1.0,3.14,5,19.3,0.5,174.0,0.28
4459,9.9,0.040999999999999995,0.18,0.99403,5.9,28.0,-1.0,3.27,5,6.4,0.5,120.0,0.22
4464,9.3,0.053,0.56,0.9981,6.6,32.0,-1.0,3.11,5,15.4,0.49,141.0,0.26
4466,11.0,0.051,0.24,0.99306,6.2,34.0,-1.0,3.36,5,4.1,0.52,149.0,0.32
4467,10.3,0.054000000000000006,0.27,0.9937799999999999,6.3,40.0,-1.0,3.2,5,6.6,0.48,158.0,0.25
4472,11.1,0.039,0.28,0.9917299999999999,7.0,12.0,-1.0,3.18,5,1.4,0.65,83.0,0.28
4473,9.8,0.271,0.2,0.99356,7.1,24.0,-1.0,3.11,5,1.6,0.63,140.0,0.36
4477,9.6,0.05,0.26,0.9951399999999999,6.4,53.0,-1.0,3.14,5,7.9,0.5,180.0,0.32
4479,9.1,0.053,0.26,0.9943,6.0,17.0,-1.0,3.24,5,4.5,0.46,126.0,0.555
4480,12.8,0.12,0.45,0.99636,5.9,55.0,-1.0,3.1,5,22.6,0.35,122.0,0.22
4484,9.1,0.053,0.26,0.9943,5.8,17.0,-1.0,3.24,5,4.5,0.46,126.0,0.555
4497,9.3,0.212,0.3,0.9958,6.3,60.0,-1.0,3.1,5,8.1,0.4,150.0,0.29
4498,10.8,0.052000000000000005,0.25,0.9935,6.8,22.0,-1.0,3.09,5,6.2,0.54,106.0,0.2
4504,10.7,0.051,0.23,0.9943,6.5,20.0,-1.0,3.03,5,8.5,0.42,138.0,0.32
4505,10.2,0.051,0.23,0.9940000000000001,6.4,50.0,-1.0,3.15,5,6.0,0.52,162.0,0.28
4507,12.33333333,0.036000000000000004,0.13,0.99,5.1,17.0,-1.0,3.4,5,1.75,0.51,73.0,0.305
4509,9.5,0.061,0.17,0.9925,6.7,14.0,-1.0,3.07,5,1.3,0.55,100.0,0.23
4514,8.8,0.051,0.18,0.9964,6.1,28.5,-1.0,3.19,5,9.0,0.5,259.0,0.4
4520,9.8,0.052000000000000005,0.31,0.9949,5.8,55.0,-1.0,3.19,5,7.5,0.46,230.0,0.31
4521,9.6,0.048,0.2,0.9929,6.3,48.0,-1.0,3.17,5,2.0,0.51,191.0,0.36
4523,9.7,0.048,0.25,0.9975,6.7,79.0,-1.0,3.12,5,14.3,0.37,149.0,0.18
4533,10.5,0.049,0.18,0.9963,6.1,41.0,-1.0,3.14,5,10.5,0.35,124.0,0.25
4537,10.1,0.049,0.37,0.9937,8.3,6.0,-1.0,3.18,5,1.2,0.52,94.0,0.18
4539,11.05,0.026000000000000002,0.36,0.9956,8.3,13.0,-1.0,3.13,5,8.8,0.35,60.0,0.14
4542,11.1,0.037000000000000005,0.37,0.9948,6.9,16.0,-1.0,3.05,5,9.1,0.54,76.0,0.28
4548,10.5,0.047,0.22,0.998275,6.4,51.0,-1.0,3.39,5,14.7,0.6,183.0,0.46
4555,9.6,0.094,0.3,0.997,6.8,23.0,-1.0,3.09,5,11.8,0.44,97.0,0.45
4556,11.7,0.027999999999999997,0.4,0.9914,6.1,32.0,-1.0,3.26,5,1.9,0.72,138.0,0.2
4565,10.8,0.039,0.66,0.9965,5.8,26.0,-1.0,3.66,5,9.1,0.55,159.0,0.28
4566,12.0,0.03,0.26,0.9948,8.6,43.5,-1.0,3.03,5,11.1,0.49,171.0,0.36
4576,11.3,0.036000000000000004,0.29,0.9904,5.9,23.0,-1.0,3.19,5,1.1,0.38,56.0,0.3
4588,11.1,0.05,0.33,0.9930399999999999,6.4,30.0,-1.0,3.26,5,5.2,0.58,137.0,0.3
4606,11.2,0.04,0.32,0.993,6.9,16.0,-1.0,3.04,5,5.8,0.58,112.0,0.29
4611,10.9,0.034,0.36,0.9918399999999999,5.9,19.0,-1.0,3.25,5,2.4,0.48,77.0,0.42
4612,9.8,0.040999999999999995,0.21,0.99441,5.8,48.0,-1.0,3.16,5,7.2,0.49,146.0,0.34
4613,9.8,0.04,0.2,0.9944200000000001,5.8,42.0,-1.0,3.15,5,7.3,0.48,145.0,0.27
4614,9.5,0.094,0.18,0.99474,7.1,27.0,-1.0,2.9,5,6.3,0.49,166.0,0.33
4616,10.8,0.039,0.37,0.99198,7.3,26.0,-1.0,3.01,5,1.2,0.62,99.0,0.28
4619,8.9,0.06,0.12,0.99556,6.4,33.0,-1.0,3.22,5,4.7,0.48,196.0,0.62
4625,11.2,0.034,0.23,0.99344,8.3,6.0,-1.0,3.05,5,6.65,0.48,158.0,0.49
4636,10.56666667,0.048,0.25,0.9921200000000001,6.5,39.0,-1.0,3.28,5,1.7,0.57,177.0,0.51
4638,10.6,0.048,0.25,0.9921200000000001,6.5,39.0,-1.0,3.28,5,1.7,0.57,177.0,0.51
4648,9.3,0.11699999999999999,0.21,0.9938,6.7,40.0,-1.0,3.11,5,1.65,0.57,240.0,0.61
4649,10.2,0.042,0.06,0.9943200000000001,5.7,9.0,-1.0,3.44,5,6.8,0.44,84.0,0.695
4650,10.2,0.042,0.06,0.9943200000000001,5.6,9.0,-1.0,3.44,5,6.8,0.44,84.0,0.695
4652,9.6,0.051,0.47,0.9930899999999999,6.1,59.0,-1.0,3.24,5,1.4,0.5,210.0,0.38
4661,11.2,0.048,0.41,0.9916799999999999,8.0,35.0,-1.0,3.09,5,1.1,0.47,150.0,0.23
4666,9.1,0.057,0.53,0.9964200000000001,6.4,36.0,-1.0,3.17,5,8.8,0.44,221.0,0.31
4669,11.5,0.049,0.33,0.99134,5.9,12.0,-1.0,3.46,5,1.2,0.44,117.0,0.44
4671,10.46666667,0.036000000000000004,0.14,0.9921200000000001,4.9,69.0,-1.0,3.47,5,1.3,0.46,168.0,0.335
4679,10.5,0.036000000000000004,0.14,0.9921200000000001,4.7,69.0,-1.0,3.47,5,1.3,0.46,168.0,0.335
4685,10.5,0.062,0.32,0.9966,7.2,23.0,-1.0,3.23,5,10.4,0.49,114.0,0.26
4692,8.8,0.053,0.32,0.9941399999999999,6.0,26.0,-1.0,3.38,5,1.1,0.54,173.0,0.36
4699,9.8,0.040999999999999995,0.33,0.99659,6.8,60.0,-1.0,3.1,5,12.8,0.56,168.0,0.3
4720,12.25,0.044000000000000004,0.32,0.99044,6.6,18.0,-1.0,3.11,5,1.3,0.56,93.0,0.27
4729,10.7,0.05,0.43,0.99346,6.8,4.0,-1.0,3.27,5,1.6,0.47,65.0,0.32
4730,11.85,0.048,0.6,0.99331,7.9,13.0,-1.0,3.24,5,1.85,0.49,106.0,0.3
4740,9.6,0.05,0.46,0.99308,6.0,56.0,-1.0,3.24,5,1.5,0.49,189.0,0.32
4743,11.2,0.032,0.37,0.99185,6.0,63.0,-1.0,3.32,5,1.2,0.44,148.0,0.14
4744,10.0,0.043,0.19,0.9943799999999999,5.0,17.0,-1.0,3.67,5,5.0,0.57,101.0,0.24
4748,9.3,0.05,0.24,0.9994299999999999,6.1,33.0,-1.0,3.12,5,18.35,0.61,184.0,0.34
4772,9.1,0.057,0.45,0.99654,6.4,47.0,-1.0,3.16,5,8.6,0.51,223.0,0.28
4780,9.7,0.042,0.09,0.99382,5.8,36.0,-1.0,3.15,5,6.3,0.48,138.0,0.3
4781,9.8,0.043,0.1,0.99382,5.6,34.0,-1.0,3.14,5,6.4,0.48,142.0,0.3
4784,10.2,0.045,0.31,0.99546,6.4,55.0,-1.0,3.02,5,12.9,0.59,161.0,0.31
4794,9.4,0.174,0.3,0.99519,6.0,46.0,-1.0,3.18,5,7.3,0.49,159.0,0.32
4798,10.3,0.042,0.19,0.99684,5.9,37.0,-1.0,3.16,5,14.5,0.43,115.0,0.32
4808,10.9,0.053,0.67,0.9959,7.3,10.0,-1.0,3.19,5,8.3,0.5,100.0,0.35
4810,9.1,0.054000000000000006,0.4,0.99482,5.4,29.0,-1.0,3.42,5,3.3,0.52,147.0,0.375
4813,9.7,0.127,0.5,0.9921200000000001,5.8,63.0,-1.0,3.1,5,1.0,0.45,178.0,0.36
4824,9.2,0.042,0.35,0.9967,6.4,54.0,-1.0,3.23,5,10.3,0.47,140.0,0.23
4832,10.7,0.057,0.26,0.9917,5.9,17.0,-1.0,3.24,5,1.5,0.36,141.0,0.32
4836,9.6,0.096,0.36,0.9964200000000001,6.7,18.0,-1.0,3.11,5,11.5,0.49,92.0,0.5
4843,11.3,0.046,0.25,0.99093,5.6,47.0,-1.0,3.21,5,2.5,0.4,182.0,0.34
4845,9.5,0.136,0.29,0.99336,6.6,15.0,-1.0,3.18,5,2.4,0.6,93.0,0.38
4849,9.6,0.055,0.44,0.9948799999999999,6.4,52.0,-1.0,3.1,5,8.9,0.48,164.0,0.33
4852,11.4,0.044000000000000004,0.38,0.9917600000000001,6.2,12.0,-1.0,3.3,5,1.6,0.73,113.0,0.23
4853,11.4,0.047,0.23,0.9900100000000001,5.2,20.0,-1.0,3.32,5,1.4,0.62,77.0,0.25
4858,9.6,0.055,0.51,0.9950200000000001,6.4,53.0,-1.0,3.12,5,7.8,0.45,177.0,0.35
4864,9.633333333,0.066,0.23,0.99266,6.0,22.0,-1.0,3.3,5,1.1,0.47,148.0,0.41
4872,9.7,0.032,0.41,0.9962200000000001,6.0,50.0,-1.0,3.14,5,12.4,0.6,179.0,0.42
4877,8.8,0.032,0.0,0.9928600000000001,5.9,12.0,-1.0,3.25,5,0.8,0.36,82.0,0.54
4882,10.7,0.037000000000000005,0.13,0.9918399999999999,5.5,45.0,-1.0,3.26,5,1.3,0.38,156.0,0.32
4884,9.6,0.048,0.38,0.99492,6.5,68.0,-1.0,3.14,5,8.3,0.5,174.0,0.33
4888,9.2,0.052000000000000005,0.36,0.9933,6.8,38.0,-1.0,3.04,5,1.2,0.54,127.0,0.22
4892,9.7,0.032,0.38,0.99298,6.5,29.0,-1.0,3.29,5,1.3,0.54,112.0,0.23
4894,9.6,0.047,0.36,0.9949,6.6,57.0,-1.0,3.15,5,8.0,0.46,168.0,0.32
4898,9.4,0.076,0.0,0.9978,7.4,11.0,0.0,3.51,5,1.9,0.56,34.0,0.7
4899,9.8,0.098,0.0,0.9968,7.8,25.0,1.0,3.2,5,2.6,0.68,67.0,0.88
4900,9.8,0.092,0.04,0.997,7.8,15.0,2.0,3.26,5,2.3,0.65,54.0,0.76
4902,9.4,0.076,0.0,0.9978,7.4,11.0,4.0,3.51,5,1.9,0.56,34.0,0.7
4903,9.4,0.075,0.0,0.9978,7.4,13.0,5.0,3.51,5,1.8,0.56,40.0,0.66
4904,9.4,0.069,0.06,0.9964,7.9,15.0,6.0,3.3,5,1.6,0.46,59.0,0.6
4907,10.5,0.071,0.36,0.9978,7.5,17.0,9.0,3.35,5,6.1,0.8,102.0,0.5
4908,9.2,0.09699999999999999,0.08,0.9959,6.7,15.0,10.0,3.28,5,1.8,0.54,65.0,0.58
4909,10.5,0.071,0.36,0.9978,7.5,17.0,11.0,3.35,5,6.1,0.8,102.0,0.5
4910,9.9,0.08900000000000001,0.0,0.9943,5.6,16.0,12.0,3.58,5,1.6,0.52,59.0,0.615
4911,9.1,0.114,0.29,0.9974,7.8,9.0,13.0,3.26,5,1.6,1.56,29.0,0.61
4912,9.2,0.17600000000000002,0.18,0.9986,8.9,52.0,14.0,3.16,5,3.8,0.88,145.0,0.62
4913,9.2,0.17,0.19,0.9986,8.9,51.0,15.0,3.17,5,3.9,0.93,148.0,0.62
4915,9.3,0.368,0.28,0.9968,8.1,16.0,17.0,3.11,5,1.7,1.28,56.0,0.56
4919,9.7,0.08199999999999999,0.31,0.9982,7.6,23.0,21.0,3.52,5,2.3,0.65,71.0,0.39
4920,9.5,0.106,0.21,0.9966,7.9,10.0,22.0,3.17,5,1.6,0.91,37.0,0.43
4921,9.4,0.084,0.11,0.9968,8.5,9.0,23.0,3.17,5,2.3,0.53,67.0,0.49
4923,9.3,0.08,0.16,0.9955,6.3,11.0,25.0,3.34,5,1.4,0.56,23.0,0.39
4924,9.5,0.08,0.24,0.9962,7.6,4.0,26.0,3.28,5,1.8,0.59,11.0,0.41
4925,9.5,0.106,0.21,0.9966,7.9,10.0,27.0,3.17,5,1.6,0.91,37.0,0.43
4926,9.4,0.08,0.0,0.9972,7.1,14.0,28.0,3.47,5,1.9,0.55,35.0,0.71
4928,10.1,0.08900000000000001,0.07,0.9958,6.7,17.0,30.0,3.35,5,2.4,0.54,82.0,0.675
4930,9.8,0.083,0.12,0.9966,8.3,15.0,32.0,3.17,5,2.3,0.66,113.0,0.655
4932,9.2,0.10300000000000001,0.25,0.9957,5.2,13.0,34.0,3.38,5,1.8,0.55,50.0,0.32
4937,10.5,0.07400000000000001,0.36,0.9978,7.3,12.0,39.0,3.33,5,5.9,0.83,87.0,0.45
4938,10.5,0.07400000000000001,0.36,0.9978,7.3,12.0,40.0,3.33,5,5.9,0.83,87.0,0.45
4941,10.3,0.069,0.22,0.9968,8.1,9.0,43.0,3.3,5,2.2,1.2,23.0,0.66
4942,9.5,0.05,0.02,0.9962,6.8,5.0,44.0,3.48,5,1.8,0.52,11.0,0.67
4944,9.2,0.114,0.43,0.997,7.7,22.0,46.0,3.25,5,2.2,0.73,114.0,0.935
4945,9.5,0.113,0.52,0.9969,8.7,12.0,47.0,3.25,5,1.6,0.58,37.0,0.29
4946,9.2,0.066,0.23,0.9958,6.4,5.0,48.0,3.34,5,1.6,0.56,12.0,0.4
4947,9.2,0.07400000000000001,0.37,0.9954,5.6,12.0,49.0,3.32,5,1.4,0.58,96.0,0.31
4948,9.2,0.07400000000000001,0.26,0.9971,8.8,4.0,50.0,3.15,5,1.7,0.74,23.0,0.66
4951,9.4,0.081,0.36,0.997,8.6,30.0,53.0,3.2,5,3.0,0.56,119.0,0.38
4953,9.5,0.084,0.04,0.9978,7.7,25.0,55.0,3.34,5,3.8,0.53,45.0,0.62
4954,9.6,0.07,0.57,0.9971,10.2,4.0,56.0,3.04,5,3.4,0.63,10.0,0.42
4955,9.4,0.111,0.12,0.9983,7.5,50.0,57.0,3.26,5,5.1,0.77,110.0,0.63
